date,cruise_id,station,event_n,scan,salinity,temperature,pressure,sea_water_electrical_conductivity,CDOM,dissolved_oxygen,oxygen_saturation,chlorophyll_concentration,chlorophyll_fluorescence,photosynthetically_available_radiation,beam_attenuation,beam_transmission,depth,sea_water_sigma_t,sound_velocity,altimeter,latitude,longitude
2006-01-18,WS0603,58,20,20,20,20,20,20,0,18,18,0,20,20,20,20,20,20,20,20,25.164,-81.654
2006-01-18,WS0603,59,14,14,13,14,14,13,0,12,12,0,14,14,14,14,14,13,13,14,25.1683333333333,-81.4895
2006-01-18,WS0603,60,10,10,9,10,10,9,0,8,8,0,10,10,10,10,10,9,9,10,25.1661666666667,-81.3348333333333
2006-01-18,WS0603,61,7,7,6,7,7,6,0,5,5,0,7,7,7,7,7,6,6,7,25.1655,-81.2738333333333
2006-01-18,WS0603,62,5,5,5,5,5,5,0,4,4,0,5,5,5,5,5,5,5,5,25.1638333333333,-81.2358333333333
2006-01-18,WS0603,63,4,4,4,4,4,4,0,2,2,0,4,4,4,4,4,4,4,4,25.1656666666667,-81.199
2006-01-18,WS0603,64,3,3,3,3,3,3,0,3,3,0,3,3,3,3,3,3,3,3,25.1651666666667,-81.1568333333333
2006-01-18,WS0603,65,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2,25.0983333333333,-81.0965
2006-01-18,WS0603,66,3,3,2,3,3,2,0,1,1,0,3,3,3,3,3,2,2,3,25.0673333333333,-81.1093333333333
2006-01-18,WS0603,67,5,5,4,5,5,4,0,3,3,0,5,5,5,5,5,4,4,5,25.0291666666667,-81.1271666666667
2006-01-18,WS0603,68,4,4,4,4,4,4,0,3,3,0,4,4,4,4,4,4,4,4,24.927,-81.1673333333333
2006-01-18,WS0603,69,4,4,4,4,4,4,0,2,2,0,4,4,4,4,4,4,4,4,24.9296666666667,-81.0948333333333
2006-01-18,WS0603,70,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2,24.9308333333333,-81.025
2006-01-18,WS0603,71,2,2,2,2,2,2,0,1,1,0,2,2,2,2,2,2,2,2,24.9295,-80.9638333333333
2006-01-19,WS0603,39,3,3,2,3,3,2,0,2,2,0,3,0,3,3,3,2,2,3,25.7836666666667,-81.4821666666667
2006-01-19,WS0603,40,6,6,5,6,6,5,0,5,5,0,6,3,6,6,6,5,5,6,25.759,-81.524
2006-01-19,WS0603,41,8,8,8,8,8,8,0,7,7,0,8,5,8,8,8,8,8,8,25.7331666666667,-81.5756666666667
2006-01-19,WS0603,44,16,16,16,16,16,16,0,15,15,0,16,1,16,16,16,16,16,16,25.5828333333333,-81.6646666666667
2006-01-19,WS0603,45,9,9,9,9,9,9,0,8,8,0,9,0,9,9,9,9,9,9,25.5835,-81.47
2006-01-19,WS0603,46,9,9,9,9,9,9,0,8,8,0,9,2,9,9,9,9,9,9,25.5828333333333,-81.408
2006-01-19,WS0603,47,6,6,6,6,6,6,0,5,5,0,6,6,6,6,6,6,6,6,25.5831666666667,-81.3665
2006-01-19,WS0603,48,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,25.5846666666667,-81.33
